State/ UT,Sl. No.,District/ Area,Year,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Insult to the Modesty of Women_Total,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Abetment of Suicides of Women,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986",Protection of Children from Sexual Offences Act,"Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,Total Crimes against Women
West Bengal,30,Uttar Dinajpur,2015.0,50.0,86.0,72.0,4.0,57.0,5.0,514.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,801.0
A & N Islands,1,South Andaman,2015.0,20.0,0.0,11.0,0.0,29.0,4.0,12.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,79.0
A & N Islands,2,North & Middle Andaman,2015.0,15.0,0.0,10.0,0.0,25.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
A & N Islands,3,Nicobar,2015.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Chandigarh,1,Chandigarh,2015.0,72.0,6.0,165.0,5.0,76.0,10.0,126.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,463.0
D&N Haveli,1,D&N Haveli,2015.0,8.0,0.0,9.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Daman & Diu,1,Daman,2015.0,4.0,0.0,10.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Daman & Diu,2,Diu,2015.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Delhi UT,1,Central,2015.0,85.0,0.0,188.0,4.0,256.0,71.0,110.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,715.0
Delhi UT,2,Crime Branch,2015.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Delhi UT,3,East,2015.0,239.0,4.0,448.0,6.0,588.0,214.0,414.0,0.0,8.0,4.0,0.0,0.0,0.0,1.0,1926.0
Delhi UT,4,EOW,2015.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Delhi UT,5,IGI Airport,2015.0,1.0,0.0,2.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Delhi UT,6,Metro,2015.0,4.0,1.0,1.0,0.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Delhi UT,7,New Delhi,2015.0,22.0,0.0,26.0,0.0,48.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
Delhi UT,8,North,2015.0,48.0,3.0,160.0,2.0,173.0,14.0,114.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,517.0
Delhi UT,9,North-East,2015.0,244.0,6.0,533.0,13.0,486.0,40.0,469.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1796.0
Delhi UT,10,North-West,2015.0,172.0,1.0,373.0,14.0,400.0,80.0,285.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1329.0
Delhi UT,11,Outer,2015.0,315.0,3.0,652.0,28.0,536.0,180.0,563.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2284.0
Delhi UT,12,RAILWAY,2015.0,15.0,1.0,9.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
Delhi UT,13,South,2015.0,323.0,5.0,495.0,10.0,1183.0,520.0,172.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2712.0
Delhi UT,14,South-East,2015.0,240.0,5.0,475.0,14.0,559.0,141.0,300.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1741.0
Delhi UT,15,South-West,2015.0,217.0,8.0,413.0,13.0,606.0,107.0,397.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1766.0
Delhi UT,16,Spl Cell,2015.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Delhi UT,17,SPUWAC,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0
Delhi UT,18,Vigilance,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi UT,19,West,2015.0,272.0,9.0,525.0,18.0,486.0,102.0,533.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1952.0
Lakshadweep,1,Lakshadweep,2015.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Puducherry,1,Karaikal,2015.0,0.0,0.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Puducherry,2,Puducherry,2015.0,3.0,1.0,13.0,1.0,25.0,7.0,4.0,0.0,0.0,12.0,1.0,0.0,0.0,1.0,68.0
